Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position
1,A1,EST_1952_Plate1,BD43,,2.04848E+11,R01C01
2,B1,EST_1952_Plate1,BD60,,2.04848E+11,R02C01
3,C1,EST_1952_Plate1,BE49,,2.04848E+11,R03C01
4,D1,EST_1952_Plate1,r09012,,2.04848E+11,R04C01
5,E1,EST_1952_Plate1,r09071,,2.04848E+11,R05C01
6,F1,EST_1952_Plate1,r05062,,2.04848E+11,R06C01
7,G1,EST_1952_Plate1,r05080,,2.04848E+11,R07C01
8,H1,EST_1952_Plate1,BC85,,2.04848E+11,R08C01
9,A2,EST_1952_Plate1,r07016,,2.04848E+11,R01C01
10,B2,EST_1952_Plate1,BD53,,2.04848E+11,R02C01
